Signal Done: Latitude 15.26739, Longitude 73.980355
Signal Done: Latitude 15.267407, Longitude 73.980444
Signal Done: Latitude 15.267404, Longitude 73.980442
Signal Done: Latitude 15.267402, Longitude 73.980444
Signal Done: Latitude 15.267413, Longitude 73.980433
Signal Done: Latitude 15.267402, Longitude 73.980426
Signal Done: Latitude 15.267521, Longitude 73.979264
Signal Missed: Latitude 15.2684, Longitude 73.966972
Signal Done: Latitude 15.268292, Longitude 73.966979
Signal Done: Latitude 15.268299, Longitude 73.966985
Signal Done: Latitude 15.268317, Longitude 73.966974
Signal Done: Latitude 15.268295, Longitude 73.965361
Signal Done: Latitude 15.306285, Longitude 73.927709
Signal Done: Latitude 15.502191, Longitude 73.925078
Signal Done: Latitude 15.5043, Longitude 73.92491
Signal Missed: Latitude 15.5055923, Longitude 73.925483
Signal Done: Latitude 15.510946, Longitude 73.925539
Signal Done: Latitude 15.513517, Longitude 73.925684
Signal Missed: Latitude 15.516535, Longitude 73.925523
Signal Done: Latitude 15.520128, Longitude 73.924204
Signal Done: Latitude 15.523939, Longitude 73.921549
Signal Done: Latitude 15.529159, Longitude 73.919138
Signal Done: Latitude 15.54159, Longitude 73.921275
Signal Missed: Latitude 15.5997745, Longitude 73.897804
Signal Done: Latitude 15.605406, Longitude 73.894114
Signal Done: Latitude 15.627606, Longitude 73.880333
Signal Done: Latitude 15.630457, Longitude 73.876528
Signal Done: Latitude 15.631135, Longitude 73.875623
Signal Done: Latitude 15.631337, Longitude 73.875374
Signal Done: Latitude 15.632876, Longitude 73.87369
Signal Done: Latitude 15.633685, Longitude 73.873046
Signal Done: Latitude 15.634611, Longitude 73.872393
Signal Missed: Latitude 15.635544, Longitude 73.871878
Signal Done: Latitude 15.654127, Longitude 73.857248
Signal Done: Latitude 15.664917, Longitude 73.849285
Signal Done: Latitude 15.675763, Longitude 73.841815
Signal Done: Latitude 15.691847, Longitude 73.829775
Signal Done: Latitude 15.734732, Longitude 73.819404
Signal Done: Latitude 16.564578, Longitude 73.66406
Signal Done: Latitude 16.570214, Longitude 73.659831
Signal Done: Latitude 16.597065, Longitude 73.639725
Signal Done: Latitude 16.638963, Longitude 73.626791
Signal Done: Latitude 16.81292, Longitude 73.616815
Signal Done: Latitude 16.923477, Longitude 73.592008
Signal Done: Latitude 16.923483, Longitude 73.59201
Signal Done: Latitude 16.923488, Longitude 73.592017
Signal Done: Latitude 16.923499, Longitude 73.592026
Signal Done: Latitude 16.923502, Longitude 73.592038
Signal Done: Latitude 16.923495, Longitude 73.592033
Signal Done: Latitude 16.927443, Longitude 73.589849
Signal Done: Latitude 16.935425, Longitude 73.582343
Signal Missed: Latitude 17.002887, Longitude 73.353401
Signal Done: Latitude 17.003306, Longitude 73.359447
Signal Done: Latitude 17.003316, Longitude 73.359447
Signal Done: Latitude 17.003731, Longitude 73.3637
Signal Done: Latitude 17.00402, Longitude 73.36615
Signal Done: Latitude 17.007541, Longitude 73.370637
Signal Done: Latitude 17.01114, Longitude 73.373491
Signal Done: Latitude 17.018883, Longitude 73.379617
Signal Done: Latitude 17.02186, Longitude 73.381302
Signal Done: Latitude 17.165954, Longitude 73.492658
Signal Done: Latitude 17.168894, Longitude 73.496587
Signal Done: Latitude 17.168867, Longitude 73.496551
Signal Missed: Latitude 17.171167, Longitude 73.514185
Signal Done: Latitude 17.171212, Longitude 73.519846
Signal Done: Latitude 17.178447, Longitude 73.53446
Signal Done: Latitude 17.183931, Longitude 73.541957
Signal Done: Latitude 17.466239, Longitude 73.519978
Signal Done: Latitude 17.554582, Longitude 73.494155
Signal Missed: Latitude 17.953794, Longitude 73.387129
Signal Done: Latitude 15.267736, Longitude 73.973474
Signal Done: Latitude 15.26772, Longitude 73.975547
Signal Done: Latitude 15.267713, Longitude 73.976464
Signal Missed: Latitude 15.267579, Longitude 73.97885
Signal Done: Latitude 15.267732, Longitude 73.977453
Signal Missed: Latitude 15.268297, Longitude 73.966969
Signal Done: Latitude 15.274918, Longitude 73.952487
