   Medha Speed Time Distance Recording System Type MRT 922
                    Short Term Digital Report       Recorder Sl.No  4296
___________________________________________________________________________________________________________________________________________________________
Filename           :CMSM41              Locono  : 041588       FileSave Date : 06-05-2024
Userfilename       :                                   FileSave Time : 08:45:37 AM
Start Date , Time  :05/05/24  21:45:30  End Date , Time : 06/05/24   08:21:24
Shedname           :AQ ELS            Start Dist   : 275.116  End Dist : 489.565
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BTTR1973          Train No: TEMP             Locono : 41588  Spd Limit :100 Kmph   Wheel Dia :1083 mm 
05/05/24 | 19:48:34 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
Driver ID :0                 Train No: TEMP             Locono : 41588  Spd Limit :100 Kmph   Wheel Dia :1083 mm 
05/05/24 | 21:52:19 | 000 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off | START                     
05/05/24 | 21:52:20 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:21 | 001 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:22 | 001 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:23 | 001 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:24 | 001 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:25 | 001 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:26 | 001 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:27 | 001 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:28 | 001 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:29 | 001 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:30 | 002 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:31 | 002 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:32 | 002 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:33 | 002 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:34 | 002 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:35 | 002 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:36 | 002 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:37 | 002 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:38 | 002 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:39 | 003 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:40 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:41 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:42 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:43 | 003 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:44 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:45 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:46 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:47 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:48 | 003 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:49 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:50 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:51 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:52 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:53 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:54 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:55 | 004 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:56 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:57 | 004 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:58 | 005 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:52:59 | 005 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:00 | 005 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:01 | 005 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:02 | 005 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:03 | 005 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
05/05/24 | 21:53:04 | 005 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:05 | 005 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:06 | 006 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:07 | 006 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:08 | 006 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:09 | 006 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:10 | 006 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:11 | 006 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:12 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:13 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:14 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:15 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:16 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:17 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:18 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:19 | 008 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:20 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:21 | 009 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:22 | 009 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:23 | 009 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:24 | 009 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:25 | 009 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:26 | 010 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:27 | 010 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:28 | 010 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:29 | 010 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:30 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:31 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:32 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:33 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:34 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
